instance_id,1_outcome,1_patterns,1_step,1_cost,2_outcome,2_patterns,2_step,2_cost,3_outcome,3_patterns,3_step,3_cost
astropy__astropy-12907,resolved,oscillation_self_loop,10,0.008698,resolved,oscillation_self_loop,10,0.008698,resolved,"oscillation_self_loop,plan_compliance",14,0.015505
astropy__astropy-13033,unresolved,,14,0.010881,unresolved,,14,0.010881,unresolved,,9,0.005474
astropy__astropy-13236,unresolved,"oscillation_self_loop,plan_compliance",9,0.009276,unresolved,"oscillation_self_loop,plan_compliance",9,0.009276,unresolved,"oscillation_self_loop,plan_compliance",10,0.015090
astropy__astropy-13398,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",14,0.019142,unresolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",14,0.019142,unresolved,"oscillation_self_loop,plan_compliance",13,0.016110
astropy__astropy-13453,unresolved,"dwell_L_navigate,oscillation_self_loop,repeated_view",73,0.314893,unresolved,"dwell_L_navigate,oscillation_self_loop,repeated_view",73,0.314893,unresolved,"oscillation_self_loop,plan_compliance",12,0.016676
astropy__astropy-13579,resolved,"dwell_L_reproduce,oscillation_self_loop",34,0.064470,unresolved,"dwell_L_reproduce,oscillation_self_loop",34,0.064470,unresolved,"dwell_L_reproduce,dwell_V,oscillation_self_loop,repeated_view",83,0.302202
astropy__astropy-13977,unresolved,,13,0.015342,unresolved,,13,0.015342,unresolved,dwell_L_navigate,20,0.022772
astropy__astropy-14096,resolved,"oscillation_self_loop,plan_compliance",7,0.007307,resolved,"oscillation_self_loop,plan_compliance",7,0.007307,resolved,oscillation_self_loop,10,0.009010
astropy__astropy-14182,unresolved,,24,0.026162,unresolved,,24,0.026162,unresolved,"oscillation_self_loop,plan_compliance",7,0.004567
astropy__astropy-14309,resolved,oscillation_self_loop,11,0.008816,resolved,oscillation_self_loop,11,0.008816,resolved,,12,0.008761
astropy__astropy-14365,unresolved,,12,0.011417,unresolved,,12,0.011417,unresolved,plan_compliance,11,0.009011
astropy__astropy-14369,unresolved,,18,0.033270,unresolved,,18,0.033270,unresolved,,16,0.026377
astropy__astropy-14508,unresolved,oscillation_self_loop,12,0.013676,unresolved,oscillation_self_loop,12,0.013676,unresolved,oscillation_self_loop,14,0.017911
astropy__astropy-14539,resolved,,12,0.008078,resolved,,12,0.008078,resolved,,16,0.026213
astropy__astropy-14598,unresolved,repeated_view,80,0.222414,unresolved,repeated_view,80,0.222414,unresolved,,52,0.094060
astropy__astropy-14995,resolved,"oscillation_self_loop,repeated_view",16,0.027686,resolved,"oscillation_self_loop,repeated_view",16,0.027686,resolved,,18,0.020830
astropy__astropy-7166,resolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",15,0.035687,resolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance",15,0.035687,resolved,"oscillation_self_loop,plan_compliance",10,0.015855
astropy__astropy-7336,resolved,plan_compliance,11,0.007416,resolved,plan_compliance,11,0.007416,resolved,plan_compliance,9,0.005682
astropy__astropy-7606,unresolved,,17,0.024274,unresolved,,17,0.024274,unresolved,plan_compliance,10,0.009358
astropy__astropy-7671,resolved,oscillation_self_loop,23,0.032661,unresolved,oscillation_self_loop,23,0.032661,resolved,,12,0.011412
astropy__astropy-8707,unresolved,,19,0.034146,unresolved,,19,0.034146,unresolved,,15,0.018308
astropy__astropy-8872,unresolved,,66,0.163070,unresolved,,66,0.163070,unresolved,,15,0.018108
django__django-10097,resolved,"dwell_L_navigate,dwell_L_reproduce,oscillation_self_loop,repeated_view",45,0.039379,resolved,"dwell_L_navigate,dwell_L_reproduce,oscillation_self_loop,repeated_view",45,0.039379,unresolved,"dwell_L_navigate,oscillation_max_repeats,oscillation_self_loop,oscillation_two_plus_node,plan_compliance,repeated_view",428,0.997939
django__django-10554,unresolved,dwell_L_navigate,32,0.062343,unresolved,dwell_L_navigate,32,0.062343,unresolved,"dwell_L_reproduce,oscillation_self_loop",23,0.041763
django__django-10880,resolved,"oscillation_self_loop,plan_compliance",6,0.004728,resolved,"oscillation_self_loop,plan_compliance",6,0.004728,unresolved,,14,0.012863
django__django-10914,unresolved,"oscillation_self_loop,plan_compliance",6,0.006050,resolved,"oscillation_self_loop,plan_compliance",6,0.006050,resolved,"oscillation_self_loop,plan_compliance",11,0.012584
django__django-10973,resolved,"oscillation_self_loop,plan_compliance,repeated_view",11,0.008545,resolved,"oscillation_self_loop,plan_compliance,repeated_view",11,0.008545,resolved,"dwell_L_navigate,oscillation_self_loop,plan_compliance,repeated_view",12,0.008955
django__django-10999,unresolved,"oscillation_self_loop,plan_compliance",5,0.002776,unresolved,"oscillation_self_loop,plan_compliance",5,0.002776,unresolved,,9,0.007991
django__django-11066,resolved,"oscillation_self_loop,plan_compliance",6,0.003049,resolved,"oscillation_self_loop,plan_compliance",6,0.003049,resolved,"oscillation_self_loop,plan_compliance",5,0.002692
django__django-11087,unresolved,plan_compliance,13,0.014046,unresolved,plan_compliance,13,0.014046,unresolved,"oscillation_self_loop,plan_compliance",11,0.014203
django__django-11095,resolved,"oscillation_self_loop,plan_compliance",9,0.009427,resolved,"oscillation_self_loop,plan_compliance",9,0.009427,resolved,"oscillation_self_loop,plan_compliance",8,0.008959
