instance_id,run-1_outcome,run-1_patterns,run-1_step,run-1_cost
astropy__astropy-12907,resolved,,13,0.060175
astropy__astropy-13033,unresolved,,10,0.056761
astropy__astropy-13236,unresolved,,10,0.031532
astropy__astropy-13398,unresolved,,19,0.203142
astropy__astropy-13453,resolved,,16,0.133653
astropy__astropy-13579,unresolved,oscillation_self_loop,14,0.099198
astropy__astropy-13977,unresolved,,25,0.124799
astropy__astropy-14096,resolved,,9,0.027564
astropy__astropy-14182,unresolved,,19,0.116922
astropy__astropy-14309,resolved,,10,0.034697
astropy__astropy-14365,unresolved,,17,0.118797
astropy__astropy-14369,unresolved,,29,0.445791
astropy__astropy-14508,unresolved,,11,0.038385
astropy__astropy-14539,resolved,,15,0.135262
astropy__astropy-14598,unresolved,,21,0.217188
astropy__astropy-14995,resolved,,13,0.083034
astropy__astropy-7166,unresolved,,11,0.032515
astropy__astropy-7336,resolved,,10,0.027731
astropy__astropy-7606,unresolved,oscillation_self_loop,11,0.028081
astropy__astropy-7671,resolved,"oscillation_self_loop,plan_compliance",16,0.061346
astropy__astropy-8707,unresolved,,14,0.048955
astropy__astropy-8872,unresolved,,14,0.099830
django__django-10097,unresolved,"oscillation_max_repeats,oscillation_self_loop,oscillation_two_plus_node",208,2.012341
django__django-10554,unresolved,,27,0.228175
django__django-10880,resolved,oscillation_self_loop,15,0.277550
django__django-10914,resolved,,16,0.102803
django__django-10973,unresolved,plan_compliance,17,0.054559
django__django-10999,unresolved,,16,0.079174
django__django-11066,resolved,,10,0.030496
django__django-11087,unresolved,,20,0.164887
django__django-11095,resolved,,12,0.055766
django__django-11099,resolved,,11,0.020907
django__django-11119,resolved,oscillation_self_loop,13,0.064366
django__django-11133,resolved,,12,0.046945
django__django-11138,unresolved,,12,0.074424
django__django-11141,unresolved,,17,0.118692
django__django-11149,unresolved,,26,0.167294
django__django-11163,resolved,,10,0.021652
django__django-11179,resolved,plan_compliance,11,0.029182
django__django-11206,unresolved,plan_compliance,12,0.045796
django__django-11211,resolved,oscillation_self_loop,14,0.081530
django__django-11239,unresolved,,12,0.082878
django__django-11265,resolved,,20,0.099944
django__django-11276,resolved,plan_compliance,11,0.030113
django__django-11292,resolved,oscillation_self_loop,10,0.057336
django__django-11299,resolved,"dwell_L_reproduce,plan_compliance",14,0.058746
django__django-11333,resolved,,14,0.067843
django__django-11400,unresolved,plan_compliance,11,0.072569
django__django-11433,unresolved,plan_compliance,21,0.118022
django__django-11451,resolved,,11,0.031800
django__django-11477,unresolved,dwell_P,29,0.281295
django__django-11490,unresolved,plan_compliance,16,0.062237
django__django-11532,unresolved,,11,0.045323
django__django-11551,resolved,,12,0.075351
django__django-11555,resolved,dwell_P,29,0.335770
django__django-11603,resolved,,12,0.038084
